DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Dec-2025,EQ,"1,492.50","1,513.60","1,490.10","1,492.50","1,508.10","1,511.30","1,503.01","1,673.00","1,335.00",883966,"1,32,86,07,784.60",28410
30-Dec-2025,EQ,"1,494.00","1,498.70","1,475.90","1,494.00","1,488.90","1,492.50","1,486.94","1,673.00","1,335.00",1993298,"2,96,39,23,809.30",49869
29-Dec-2025,EQ,"1,506.00","1,514.50","1,492.00","1,506.00","1,492.00","1,494.00","1,500.15","1,673.00","1,335.00",1077645,"1,61,66,31,844.50",33036
26-Dec-2025,EQ,"1,496.30","1,510.90","1,494.00","1,496.30","1,504.00","1,506.00","1,506.11","1,673.00","1,335.00",951555,"1,43,31,49,333.20",22760
24-Dec-2025,EQ,"1,502.50","1,508.00","1,490.20","1,500.70","1,495.30","1,496.30","1,496.65","1,673.00","1,335.00",1022767,"1,53,07,28,690.00",24892
23-Dec-2025,EQ,"1,520.40","1,522.00","1,498.30","1,512.90","1,501.50","1,500.70","1,508.47","1,673.00","1,335.00",826988,"1,24,74,86,387.40",32903
22-Dec-2025,EQ,"1,513.00","1,522.50","1,508.20","1,517.10","1,510.20","1,512.90","1,514.89","1,673.00","1,335.00",757496,"1,14,75,20,544.10",28153
19-Dec-2025,EQ,"1,495.50","1,520.10","1,495.50","1,498.90","1,515.00","1,517.10","1,512.50","1,673.00","1,335.00",769045,"1,16,31,80,945.40",24121
18-Dec-2025,EQ,"1,494.80","1,511.00","1,493.70","1,496.90","1,496.90","1,498.90","1,500.45","1,673.00","1,335.00",974170,"1,46,16,95,780.30",25184
17-Dec-2025,EQ,"1,497.60","1,505.30","1,491.00","1,499.60","1,498.00","1,496.90","1,495.11","1,673.00","1,335.00",1000116,"1,49,52,86,361.80",35444
16-Dec-2025,EQ,"1,500.00","1,508.90","1,496.10","1,508.00","1,500.00","1,499.60","1,502.36","1,673.00","1,335.00",789492,"1,18,61,04,537.50",36785
15-Dec-2025,EQ,"1,505.00","1,515.50","1,498.00","1,517.40","1,504.50","1,508.00","1,508.37","1,673.00","1,335.00",855508,"1,29,04,18,662.70",32525
12-Dec-2025,EQ,"1,520.00","1,524.70","1,510.20","1,512.30","1,516.10","1,517.40","1,518.35","1,673.00","1,335.00",1054050,"1,60,04,14,712.40",28933
11-Dec-2025,EQ,"1,492.00","1,513.40","1,492.00","1,490.90","1,512.00","1,512.30","1,506.53","1,673.00","1,335.00",606130,"91,31,51,278.00",24833
10-Dec-2025,EQ,"1,492.00","1,505.70","1,484.80","1,490.60","1,490.00","1,490.90","1,493.49","1,673.00","1,335.00",1316274,"1,96,58,38,001.90",44275
09-Dec-2025,EQ,"1,497.60","1,502.40","1,486.50","1,497.60","1,493.00","1,490.60","1,494.50","1,673.00","1,335.00",1646840,"2,46,11,99,711.40",57314
08-Dec-2025,EQ,"1,515.10","1,520.50","1,494.30","1,520.80","1,497.00","1,497.60","1,506.25","1,673.00","1,335.00",1263559,"1,90,32,41,853.50",38913
05-Dec-2025,EQ,"1,525.00","1,528.00","1,513.60","1,521.00","1,520.10","1,520.80","1,521.02","1,673.00","1,335.00",813485,"1,23,73,22,982.90",25645
04-Dec-2025,EQ,"1,503.10","1,525.70","1,503.10","1,508.00","1,518.00","1,521.00","1,515.24","1,673.00","1,335.00",726473,"1,10,07,80,177.70",41915
03-Dec-2025,EQ,"1,516.70","1,522.80","1,495.10","1,516.60","1,508.10","1,508.00","1,506.96","1,673.00","1,335.00",1034323,"1,55,86,86,055.80",36069
02-Dec-2025,EQ,"1,520.00","1,531.50","1,513.20","1,523.10","1,519.30","1,516.60","1,520.44","1,673.00","1,335.00",1760512,"2,67,67,57,928.70",49440
01-Dec-2025,EQ,"1,532.00","1,536.30","1,517.50","1,531.30","1,523.00","1,523.10","1,526.12","1,673.00","1,335.00",1010599,"1,54,22,96,284.10",38404
