DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
21-Apr-2023,EQ,"200.00","200.50","193.60","195.80","197.70","199.25","197.67","432.50","132.40",11239848,"2,22,18,02,870.05",73836
20-Apr-2023,EQ,"188.50","196.65","187.00","187.30","196.65","195.80","193.82","432.50","132.40",11055623,"2,14,28,50,476.85",73754
19-Apr-2023,EQ,"188.80","189.45","185.20","188.35","187.75","187.30","187.26","432.50","132.40",3119628,"58,41,96,903.65",37960
18-Apr-2023,EQ,"190.35","191.50","187.20","189.45","188.70","188.35","189.32","432.50","132.40",2348374,"44,45,93,347.55",30784
17-Apr-2023,EQ,"189.30","192.00","187.75","189.15","189.65","189.45","189.62","432.50","132.40",3092968,"58,64,96,726.80",37078
13-Apr-2023,EQ,"192.45","193.80","188.10","192.45","188.90","189.15","190.86","432.50","132.40",3351950,"63,97,40,776.75",35793
12-Apr-2023,EQ,"194.90","196.90","191.60","194.00","192.40","192.45","193.88","432.50","132.40",6182146,"1,19,86,20,531.00",52621
11-Apr-2023,EQ,"194.30","198.30","193.10","194.00","194.00","194.00","195.56","432.50","132.40",5731535,"1,12,08,32,804.15",46301
10-Apr-2023,EQ,"193.40","197.70","193.00","192.20","194.05","194.00","194.78","432.50","132.40",6052568,"1,17,89,39,152.75",52247
06-Apr-2023,EQ,"191.30","196.95","187.10","190.10","192.05","192.20","192.72","432.50","132.40",11740797,"2,26,26,46,984.00",86847
05-Apr-2023,EQ,"189.00","194.00","186.40","190.55","189.95","190.10","189.90","432.50","132.40",6249626,"1,18,68,25,597.40",60307
03-Apr-2023,EQ,"195.00","195.95","186.00","191.60","190.10","190.55","191.27","432.50","132.40",8826718,"1,68,82,46,639.15",72140
31-Mar-2023,EQ,"190.45","191.60","188.65","182.50","191.60","191.60","191.36","432.50","132.40",7735789,"1,48,03,09,945.95",22062
29-Mar-2023,EQ,"167.00","182.50","166.40","173.85","182.50","182.50","178.38","432.50","132.40",16463799,"2,93,68,65,881.65",80388
28-Mar-2023,EQ,"178.95","183.00","173.85","183.00","173.85","173.85","174.98","432.50","132.40",5385184,"94,23,02,183.60",47730
27-Mar-2023,EQ,"195.60","195.60","183.00","192.60","183.00","183.00","185.90","432.50","132.40",8057710,"1,49,79,60,982.35",87250
24-Mar-2023,EQ,"202.55","204.00","192.15","201.40","192.70","192.60","196.48","432.50","122.30",13774170,"2,70,63,27,719.45",125843
23-Mar-2023,EQ,"201.70","211.40","200.30","204.05","201.40","201.40","205.97","432.50","122.30",14688196,"3,02,52,63,481.80",118939
22-Mar-2023,EQ,"203.15","207.70","201.15","199.70","203.45","204.05","204.60","432.50","122.30",10063003,"2,05,88,58,568.95",88289
21-Mar-2023,EQ,"191.90","199.70","186.55","190.20","199.70","199.70","195.58","432.50","122.30",12141316,"2,37,45,87,589.40",90966
20-Mar-2023,EQ,"193.00","196.80","189.95","199.95","189.95","190.20","191.89","432.50","122.30",12119227,"2,32,55,15,974.65",98626
17-Mar-2023,EQ,"203.85","205.30","198.25","198.70","199.80","199.95","201.60","432.50","120.50",11391354,"2,29,64,82,618.50",89940
16-Mar-2023,EQ,"200.50","205.95","195.20","201.80","198.30","198.70","200.63","432.50","120.50",17003632,"3,41,14,78,588.05",135513
15-Mar-2023,EQ,"194.15","214.55","194.15","204.35","199.80","201.80","204.49","432.50","120.50",45364592,"9,27,64,28,869.65",239853
14-Mar-2023,EQ,"217.35","217.35","204.35","215.10","204.35","204.35","205.61","432.50","120.50",14455921,"2,97,22,67,934.25",67115
13-Mar-2023,EQ,"211.70","215.10","211.05","204.90","215.10","215.10","214.69","432.50","120.50",22286761,"4,78,48,38,697.05",98857
10-Mar-2023,EQ,"193.00","205.65","187.25","195.90","205.65","204.90","198.77","432.50","115.35",34315072,"6,82,07,98,369.75",270785
09-Mar-2023,EQ,"195.90","195.90","188.15","186.60","195.90","195.90","194.90","432.50","115.35",43138384,"8,40,78,83,886.35",193894
08-Mar-2023,EQ,"183.10","186.60","175.10","177.75","186.60","186.60","183.83","432.50","115.35",19786702,"3,63,73,49,945.95",104810
06-Mar-2023,EQ,"177.75","177.75","177.75","169.30","177.75","177.75","177.75","432.50","115.35",2877047,"51,13,95,104.25",7984
03-Mar-2023,EQ,"169.30","169.30","169.30","161.25","169.30","169.30","169.30","432.50","115.35",648028,"10,97,11,140.40",6273
02-Mar-2023,EQ,"161.25","161.25","161.25","153.60","161.25","161.25","161.25","432.50","115.35",1030431,"16,61,56,998.75",6682
01-Mar-2023,EQ,"153.00","153.60","152.15","146.30","153.60","153.60","153.27","432.50","115.35",1372548,"21,03,63,593.30",6433
28-Feb-2023,EQ,"135.10","146.30","132.40","139.35","146.30","146.30","140.71","432.50","115.35",27171503,"3,82,33,01,417.60",107662
27-Feb-2023,EQ,"142.05","145.60","139.35","146.65","139.35","139.35","141.22","432.50","115.35",9057254,"1,27,90,37,769.80",69652
24-Feb-2023,EQ,"150.10","156.70","146.65","154.35","146.65","146.65","149.66","432.50","108.70",12016838,"1,79,84,66,575.25",95957
23-Feb-2023,EQ,"156.05","158.65","154.35","162.45","154.35","154.35","155.01","432.50","108.70",22738196,"3,52,46,25,765.85",96509
22-Feb-2023,EQ,"177.00","178.90","162.45","171.00","162.45","162.45","167.94","432.50","108.70",25913753,"4,35,18,88,586.55",167635
21-Feb-2023,EQ,"166.90","171.00","166.20","162.90","171.00","171.00","169.00","432.50","108.70",6646310,"1,12,32,17,783.60",41300
20-Feb-2023,EQ,"158.25","162.90","150.80","155.15","162.90","162.90","161.26","432.50","108.70",29505822,"4,75,80,50,375.45",139015
17-Feb-2023,EQ,"152.45","155.15","152.05","147.80","155.15","155.15","154.42","432.50","108.70",3197811,"49,38,14,496.45",17327
16-Feb-2023,EQ,"142.00","147.80","142.00","140.80","147.80","147.80","146.66","432.50","108.70",20084998,"2,94,56,83,630.85",82937
15-Feb-2023,EQ,"140.80","140.80","140.80","148.20","140.80","140.80","140.80","432.50","108.70",1576621,"22,19,88,236.80",27858
14-Feb-2023,EQ,"148.20","148.20","148.20","156.00","148.20","148.20","148.20","432.50","108.70",940729,"13,94,16,037.80",24138
13-Feb-2023,EQ,"156.00","163.00","156.00","164.20","156.00","156.00","156.40","432.50","108.70",5574579,"87,18,38,882.50",32721
10-Feb-2023,EQ,"164.20","164.20","164.20","172.80","164.20","164.20","164.20","432.50","106.10",2082042,"34,18,71,296.40",40689
09-Feb-2023,EQ,"172.80","172.80","172.80","181.90","172.80","172.80","172.80","432.50","106.10",4471756,"77,27,19,436.80",70693
08-Feb-2023,EQ,"173.25","181.90","171.00","173.25","181.90","181.90","179.17","432.50","106.10",27906893,"5,00,00,29,928.50",201627
07-Feb-2023,EQ,"173.25","186.00","173.25","182.35","173.25","173.25","176.37","432.50","106.10",122308732,"21,57,19,91,386.60",521758
06-Feb-2023,EQ,"182.35","182.35","182.35","191.95","182.35","182.35","182.35","432.50","106.10",993619,"18,11,86,424.65",25202
03-Feb-2023,EQ,"191.95","191.95","191.95","202.05","191.95","191.95","191.95","432.50","105.65",990679,"19,01,60,834.05",26776
02-Feb-2023,EQ,"202.05","202.05","202.05","212.65","202.05","202.05","202.05","432.50","105.65",768655,"15,53,06,742.75",18414
01-Feb-2023,EQ,"219.00","223.00","212.65","223.80","212.65","212.65","215.57","432.50","105.65",14476793,"3,12,08,16,499.45",87545
31-Jan-2023,EQ,"223.80","223.80","223.80","235.55","223.80","223.80","223.80","432.50","105.65",1489382,"33,33,23,691.60",30414
30-Jan-2023,EQ,"235.55","235.55","235.55","247.95","235.55","235.55","235.55","432.50","105.65",1475925,"34,76,54,133.75",28891
27-Jan-2023,EQ,"250.00","250.05","247.95","261.00","247.95","247.95","248.10","432.50","98.00",2322603,"57,62,43,022.05",37675
25-Jan-2023,EQ,"273.00","273.00","260.95","274.65","261.05","261.00","263.12","432.50","98.00",3626722,"95,42,66,915.95",65464
24-Jan-2023,EQ,"274.70","279.30","272.30","273.20","273.90","274.65","275.28","432.50","98.00",1465473,"40,34,12,630.05",23048
23-Jan-2023,EQ,"275.45","276.70","271.15","275.05","273.00","273.20","273.41","432.50","98.00",1204085,"32,92,12,015.10",24593
20-Jan-2023,EQ,"276.85","277.00","273.40","277.55","274.50","275.05","274.72","432.50","98.00",1047243,"28,76,97,613.85",23000
19-Jan-2023,EQ,"276.50","280.45","273.20","278.70","277.85","277.55","275.79","432.50","98.00",1376944,"37,97,48,485.00",25725
18-Jan-2023,EQ,"282.50","283.00","277.00","281.95","278.45","278.70","278.84","432.50","98.00",1202697,"33,53,62,487.75",23910
17-Jan-2023,EQ,"273.45","283.25","271.75","272.95","281.60","281.95","279.23","432.50","98.00",2342614,"65,41,21,448.75",46207
16-Jan-2023,EQ,"281.00","282.20","271.50","278.70","273.45","272.95","274.96","432.50","98.00",1956213,"53,78,82,323.95",29148
13-Jan-2023,EQ,"274.90","280.00","272.00","273.65","279.00","278.70","276.93","432.50","98.00",1512469,"41,88,50,342.90",32390
12-Jan-2023,EQ,"277.65","280.70","270.05","276.20","274.00","273.65","274.82","432.50","98.00",2016739,"55,42,35,989.30",45381
11-Jan-2023,EQ,"281.80","283.40","274.55","279.20","276.60","276.20","276.65","432.50","98.00",1976038,"54,66,79,858.35",52481
10-Jan-2023,EQ,"287.95","287.95","274.65","287.70","280.20","279.20","279.41","432.50","98.00",2577634,"72,02,16,438.40",58326
09-Jan-2023,EQ,"286.95","294.00","285.20","283.40","288.00","287.70","288.67","432.50","98.00",1770223,"51,10,07,766.60",35483
06-Jan-2023,EQ,"290.70","291.00","281.10","288.75","283.00","283.40","284.42","432.50","98.00",2199728,"62,56,40,564.80",35796
05-Jan-2023,EQ,"287.95","293.20","277.00","286.60","290.20","288.75","285.44","432.50","98.00",1868579,"53,33,61,490.95",39798
04-Jan-2023,EQ,"294.75","296.00","284.55","294.75","287.90","286.60","288.92","432.50","98.00",1643562,"47,48,64,106.80",37538
03-Jan-2023,EQ,"298.15","301.00","293.50","298.15","295.20","294.75","296.47","432.50","98.00",1411312,"41,84,18,667.05",30317
02-Jan-2023,EQ,"303.00","304.90","293.30","299.55","297.90","298.15","298.90","432.50","97.30",1737675,"51,93,90,421.40",34939
